gene_id,Ht_1,Ht_2,Ht_3,St_1,St_2,St_3
ENSAPEG00000005601.1,5.50057,5.05531,7.71365,3.30165,5.93082,5.09878
ENSAPEG00000005602.1,23.359358999999998,23.01709,24.3566,19.4799,30.677752,31.277155
ENSAPEG00000005603.1,25.4711,19.1611,22.7103,21.7434,26.202,24.5708
ENSAPEG00000005604.1,14.9409,11.9381,13.9821,12.5924,19.3963,14.5379
ENSAPEG00000005605.1,4.26069,3.72487,4.66978,1.66067,3.18022,1.92632
ENSAPEG00000005606.1,17.040215,11.162523,11.8724,17.407,13.950446000000001,16.967137
ENSAPEG00000005607.1,1.33343,7.3745933,3.02163,6.71406,2.3447,5.23673
ENSAPEG00000005608.1,0,0,0,0,0,0
ENSAPEG00000005609.1,9.08258,6.34417,5.36708,1.90952,6.29403,5.63901
ENSAPEG00000005610.1,15.4481,9.92166,17.5899,16.8806,16.9387,17.0584
ENSAPEG00000005611.1,1.18292,4.11738,14.494,0,1.65916,5.87431
ENSAPEG00000005612.1,0.637165,1.85655,3.92215,0,1.48105,1.22139
ENSAPEG00000005614.1,14.621669999999998,11.8975,14.432030000000001,14.1653,16.0928,18.2542
ENSAPEG00000005615.1,34.0487,46.1135,42.8558,123.137,78.7359,49.2355
ENSAPEG00000005616.1,13.0816,8.54267,13.3231,9.56228,12.8355,13.0617
ENSAPEG00000005617.1,5.24467,2.32859,2.07267,4.41799,3.52991,2.99806
ENSAPEG00000005618.1,7.31627,5.12723,6.89475,7.70973,6.75222,6.89778
ENSAPEG00000005619.1,4.29481,3.35415,4.06672,6.49672,5.15704,3.98446
ENSAPEG00000005620.1,1.87677,1.147,0.948765,0,0.407043,0.763092
ENSAPEG00000005621.1,0.632109,1.37247,1.30998,1.39689,0.793114,1.19665
ENSAPEG00000005622.1,20.9139,8.86572,10.693,11.4887,11.1086,11.3442
ENSAPEG00000005624.1,198.293,89.1687,224.19,177.976,119.432,93.071
ENSAPEG00000005625.1,0,0,0,0,0,5.28844
ENSAPEG00000005626.1,0,0.256276,0,0,0,0.212452
ENSAPEG00000005628.1,34.232479,65.34162,26.9531,16.40645,32.695916,37.427174
ENSAPEG00000005629.1,12.99221769,6.036655357,13.9896444,8.508008,13.96065,11.17768
ENSAPEG00000005630.1,12.9412,11.8225,13.0789,8.41633,15.4994,10.5892
ENSAPEG00000005631.1,11.0509,13.7892,13.7405,12.4373,13.0553,14.4966
ENSAPEG00000005632.1,18.8114,17.8758,18.2691,18.2576,18.5374,18.5096
ENSAPEG00000005633.1,0,0,0,0,0,0.233445
ENSAPEG00000005634.1,0.751705,0,0,0,0.213292,0
ENSAPEG00000005635.1,1.10672,2.01402,0,14.6214,4.65944,3.41489
ENSAPEG00000005636.1,0,0,0,0,0,0
ENSAPEG00000005637.1,13.14572,8.645132,9.37271,14.09820515789,9.082348999999999,12.158271000000001
ENSAPEG00000005638.1,10.3793,7.03879,13.7035,10.0033,14.268,10.6613
ENSAPEG00000005639.1,4.79273,3.88705,4.95905,1.76387,6.06614,5.88273
ENSAPEG00000005640.1,4.29431,4.50085,0,6.28804,6.40715,6.2955
ENSAPEG00000005641.1,19.223,19.2164,15.3601,16.3516,18.0955,21.1702
ENSAPEG00000005642.1,0.541929,2.0263210000000003,1.35249,0.576021,1.167405,1.8210169999999999
ENSAPEG00000005643.1,0,0,0,0,0,0
ENSAPEG00000005645.1,33.7522,40.9955,41.356300000000005,27.538790000000002,33.618,46.417500000000004
ENSAPEG00000005646.1,0.234366,0.534738,0,0,5.75418,0.634657
ENSAPEG00000005647.1,1.00148,0,0,0,0,0.173802
ENSAPEG00000005648.1,15.9487,8.41975,2.37858,10.1668,7.37581,6.83853
ENSAPEG00000005650.1,0.148427,0.138503,0.924295,0,0.454782,0.467152
ENSAPEG00000005651.1,6.92668,6.794,8.35477,6.01132,7.3684,8.30462
ENSAPEG00000005652.1,11.79418,11.46442,10.47661,8.26665,16.50711,13.42203
ENSAPEG00000005653.1,44.85795,24.673479999999998,26.31139,33.202420000000004,17.23924,23.96743
ENSAPEG00000005654.1,5.15403,3.64128,4.97096,1.52696,5.52912,2.91107
ENSAPEG00000005655.1,14.8607,9.34271,12.2202,21.3492,14.8166,15.8992
ENSAPEG00000005656.1,35.2982,37.329404,38.4285,25.9862,43.6835,40.1286
ENSAPEG00000005657.1,21.1663,12.2,17.713,7.55334,10.3675,20.5049
ENSAPEG00000005658.1,0,0,0,0,0.40826,0.305199
ENSAPEG00000005659.1,327.19075000000004,252.41099,260.19801,303.724,329.27297,231.9503
ENSAPEG00000005660.1,1.98198,5.42092,0,13.0348,5.08419,4.42378
ENSAPEG00000005661.1,4.7779,5.57202,3.42991,4.87502,4.88915,5.94236
ENSAPEG00000005662.1,4.25712,2.79089,4.65983,8.75396,3.72941,5.60332
ENSAPEG00000005663.1,1.84259,1.4709700000000001,0.756856,1.28876,1.14625,1.43
ENSAPEG00000005664.1,2.35372,3.52906,0.375049,4.72581,4.06037,3.1756
ENSAPEG00000005665.1,3.63922,5.65927,1.48045,7.36248,4.609019,7.25711
ENSAPEG00000005666.1,8.84259,9.7914,9.4482,14.218,11.3578,11.944
ENSAPEG00000005667.1,11.4102,8.303607699999999,11.4506,11.4701,11.4505,10.976
ENSAPEG00000005668.1,4.57193,3.86681,5.42856,5.78155,4.16123,4.22709
ENSAPEG00000005669.1,3.50115,2.69334,3.1442,2.86814,2.74376,3.29054
ENSAPEG00000005670.1,2.14932,1.0148,0,0,3.032,2.10176
ENSAPEG00000005671.1,27.4604,37.6085,16.2946,31.9435,32.2415,38.9557
ENSAPEG00000005672.1,0.556092,3.95103,0.203397,0.864828,0.741816,2.97003
ENSAPEG00000005673.1,21.8851,37.2439,31.2336,925.091,19.5748,22.4245
ENSAPEG00000005674.1,5.68606,3.44069,4.66724,3.48618,4.73067,4.83825
ENSAPEG00000005675.1,15.4022,11.785,11.5417,13.2316,13.2096,12.9092
ENSAPEG00000005676.1,1.28796,3.4267,0,0,2.42012,3.32365
ENSAPEG00000005677.1,2.8397,1.38568,1.66169,1.96519,2.16701,2.51067
ENSAPEG00000005678.1,3.880737,2.788777,3.89751,3.4589999999999996,2.7830250000000003,5.3510100000000005
ENSAPEG00000005679.1,13.8601,12.5203,10.4358,9.91133,11.6643,14.2805
ENSAPEG00000005680.1,9.51453,5.9413,6.0571,7.0094900000000004,8.10054,9.98101
ENSAPEG00000005681.1,14.2109,10.372327,11.1406,14.2814,12.4714,12.687693
ENSAPEG00000005682.1,6.86482,4.086701,3.07513,8.25217,4.485605,4.135918
ENSAPEG00000005684.1,1.95509,1.97935,1.74177,0.618225,1.80227,1.89748
ENSAPEG00000005685.1,49.5713,44.0485,53.0335,39.5028,54.3786,52.5411
ENSAPEG00000005687.1,13.3896,18.6725,11.4105,17.3931,12.1638,16.5455
ENSAPEG00000005688.1,21.5443,10.5326,12.9521,43.0955,23.0251,21.473
ENSAPEG00000005689.1,57.9987,33.826,27.9719,15.839,25.9652,30.2516
ENSAPEG00000005690.1,8.916448,5.42896400484771,4.666221,5.56071,8.16816,6.641211
ENSAPEG00000005691.1,0.308227,0.104873,0,0.584833,0.582217,0.423702
ENSAPEG00000005692.1,1.80393,1.35252,1.85129,3.96773,0.97866,2.25245
ENSAPEG00000005693.1,18.1605,12.7044,13.6113,12.2084,19.6601,18.8676
ENSAPEG00000005694.1,0.976651,0.853383,0.553756,0,0.524085,0.683473
ENSAPEG00000005695.1,13.7406,12.6813165,11.5509,6.21344,12.8997,13.6015
ENSAPEG00000005696.1,43.440020000000004,36.27217,60.92042,31.86357,54.655969999999996,45.62032
ENSAPEG00000005697.1,285.445,242.98,483.492,106.461,277.622,259.644
ENSAPEG00000005698.1,2.50424,2.69434,3.8386,8.24797,2.3292,4.15969
ENSAPEG00000005699.1,16.9046,18.6311,11.5426,14.8613,19.0059,24.0552
ENSAPEG00000005700.1,5.01886,3.9699,6.20045,3.77285,6.12518,6.12954
ENSAPEG00000005701.1,0.50307,0,0,0,0.239226,0.336504
ENSAPEG00000005702.1,1.45213,1.1148,0,2.26646,0.885251,1.1348800000000001
ENSAPEG00000005703.1,0,0.512561,0,0,1.42619,0
ENSAPEG00000005704.1,206.521,126.535,232.306,187.675,217.849,217.554
ENSAPEG00000005705.1,3.1983,5.68108,0.794445,3.39047,3.78717,5.98876
